group_id,assigned_split,usable_train_count,usable_eval_count,sample_ids
100404,train,5,5,100404__2025_03_20_14_58_23_305559__4592541|100404__2025_03_20_14_58_23_305559__4831159|100404__2025_03_20_14_58_23_305559__5810876|100404__2025_03_20_14_58_23_305559__5864427|100404__2025_03_20_14_58_23_305559__6030498
100519,train,1,1,100519__2025_09_24_08_31_30_664190__7460478
100538,train,14,14,100538__2025_02_07_13_53_31_253108__2693993|100538__2025_02_07_13_53_31_253108__3360301|100538__2025_02_07_13_53_31_253108__4710313|100538__2025_02_07_13_53_31_253108__4907509|100538__2025_02_07_13_53_31_253108__4941541|100538__2025_02_07_13_53_31_253108__5091927|100538__2025_02_07_13_53_31_253108__5790439|100538__2025_02_07_13_53_31_253108__6028945|100538__2025_02_07_13_53_31_253108__6165077|100538__2025_02_07_13_53_31_253108__7139018|100538__2025_02_07_13_53_31_253108__7389821|100538__2025_02_07_13_53_31_253108__8414805|100538__2025_02_07_13_53_31_253108__9069382|100538__2025_09_24_08_33_54_796934__8456614
100727,train,3,3,100727__2025_09_29_09_59_10_133471__1859979|100727__2025_09_29_09_59_10_133471__4872988|100727__2025_09_29_09_59_10_133471__8833486
100952,train,7,7,100952__2025_03_20_14_44_37_811870__2917780|100952__2025_03_20_14_44_37_811870__6507603|100952__2025_03_20_14_44_37_811870__8783881|100952__2025_09_29_11_07_00_193879__2908371|100952__2025_09_29_11_07_00_193879__7006382|100952__2025_09_29_11_07_00_193879__7879913|100952__2025_09_29_11_07_00_193879__8932596
100963,train,3,3,100963__2025_09_29_13_51_14_561253__2971944|100963__2025_09_29_13_51_14_561253__5776132|100963__2025_09_29_13_51_14_561253__8539537
101165,train,6,6,101165__2025_03_20_14_42_35_303909__1800523|101165__2025_03_20_14_42_35_303909__4246664|101165__2025_03_20_14_42_35_303909__5182861|101165__2025_09_29_13_55_19_785892__1643986|101165__2025_09_29_13_55_19_785892__5169535|101165__2025_09_29_13_55_19_785892__802236
101297,train,2,2,101297__2025_03_20_14_38_57_432942__587365|101297__2025_03_20_14_38_57_432942__6489274
101431,train,1,1,101431__2025_03_20_13_36_27_466882__2929475
101509,train,2,2,101509__2025_09_29_14_09_24_546711__329832|101509__2025_09_29_14_09_24_546711__4711390
101581,train,6,6,101581__2025_07_24_13_54_36_303072__1758121|101581__2025_07_24_13_54_36_303072__2981754|101581__2025_07_24_13_54_36_303072__4563306|101581__2025_07_24_13_54_36_303072__4986393|101581__2025_07_24_13_54_36_303072__691275|101581__2025_07_24_13_54_36_303072__8471848
101685,train,1,1,101685__2025_03_20_08_38_48_765312__4953834
