image_hash,kept_sample,kept_status,kept_mark_count,dropped_sample,dropped_status,dropped_mark_count
059554c37dc5f66994655f681f518e6d3fae9a81,100538__2025_02_07_13_53_31_253108__4907509,annotated_nonzero,184,100538__2025_09_24_08_33_54_796934__1657272,template_only_no_mark_tables,0
13a308ba0a648dc0c94b8eb578f66a8f798e3408,100538__2025_02_07_13_53_31_253108__6165077,annotated_nonzero,83,100538__2025_09_24_08_33_54_796934__9495504,template_only_no_mark_tables,0
16f01a20593877de655ddf9b400058ff0d2a703b,100538__2025_02_07_13_53_31_253108__5790439,annotated_nonzero,82,100538__2025_09_24_08_33_54_796934__4989860,template_only_no_mark_tables,0
21bacafdcf350ad5520dc745216e9da5ddb9d783,101165__2025_03_20_14_42_35_303909__1800523,annotated_nonzero,321,101165__2025_09_29_13_55_19_785892__6614467,annotated_nonzero,226
289d249091fe45ad1fbefe7308d3305ff5492b08,100952__2025_03_20_14_44_37_811870__8783881,annotated_nonzero,302,100952__2025_09_29_11_07_00_193879__3793685,groups_but_zero_marks,0
3504b3d0f7dad076a967f7d36337830209620e56,100538__2025_02_07_13_53_31_253108__7139018,annotated_nonzero,168,100538__2025_09_24_08_33_54_796934__3164512,groups_but_zero_marks,0
42b614baa7fca747c38892b363f6cfcbe49d512b,100538__2025_02_07_13_53_31_253108__3360301,annotated_nonzero,19,100538__2025_09_24_08_33_54_796934__2701959,template_only_no_mark_tables,0
55f1a6fee0bf405ddfd9d4b6cd33cef5907b3056,100538__2025_02_07_13_53_31_253108__4710313,annotated_nonzero,144,100538__2025_09_24_08_33_54_796934__5344425,template_only_no_mark_tables,0
58cbe18dc230bb96e90aaf334f338f5184c10808,100952__2025_09_29_11_07_00_193879__8932596,annotated_nonzero,189,100952__2025_03_20_14_44_37_811870__8356785,groups_but_zero_marks,0
6ead915cca307d451a7227fc14f558c8a4fd1489,100538__2025_02_07_13_53_31_253108__2693993,annotated_nonzero,44,100538__2025_09_24_08_33_54_796934__8496613,template_only_no_mark_tables,0
8b3271c201868cd07f5b70b5b7201f7ddf947266,100952__2025_03_20_14_44_37_811870__2917780,annotated_nonzero,272,100952__2025_09_29_11_07_00_193879__1138991,annotated_nonzero,214
a163f53e6bd1b0f78ac7e2eac3f818f6d4f1ad5d,101165__2025_03_20_14_42_35_303909__4246664,annotated_nonzero,247,101165__2025_09_29_13_55_19_785892__8180113,annotated_nonzero,199
aa7ecd7f3f26131a683de2e1058d280702dc3659,100538__2025_02_07_13_53_31_253108__4941541,annotated_nonzero,281,100538__2025_09_24_08_33_54_796934__7587580,annotated_nonzero,279
ae702586a345f55186001cdaffdfd53dc2915c01,100538__2025_02_07_13_53_31_253108__8414805,annotated_nonzero,54,100538__2025_09_24_08_33_54_796934__3737444,groups_but_zero_marks,0
b2e356e450fdf693e8d08becb213091f3ae4d886,100538__2025_02_07_13_53_31_253108__7389821,annotated_nonzero,109,100538__2025_09_24_08_33_54_796934__3571700,groups_but_zero_marks,0
d131ce8f14152f2aef393b5dda0381456296874f,100952__2025_03_20_14_44_37_811870__6507603,annotated_nonzero,244,100952__2025_09_29_11_07_00_193879__9806540,annotated_nonzero,141
d95967ab1001d09ff7f6698dac2b50311cf131a9,100538__2025_09_24_08_33_54_796934__8456614,annotated_nonzero,186,100538__2025_02_07_13_53_31_253108__6467388,annotated_nonzero,128
f169b7f3fbf177ad14d9a3a7c44885c6f2c89eac,101165__2025_03_20_14_42_35_303909__5182861,annotated_nonzero,307,101165__2025_09_29_13_55_19_785892__5008615,annotated_nonzero,261
fa56d6f808041a0b5752903f6b568d12c566028b,100538__2025_02_07_13_53_31_253108__9069382,annotated_nonzero,108,100538__2025_09_24_08_33_54_796934__6928492,groups_but_zero_marks,0
fc6dd30d9036dec0e75b2904cf4f34a52ffbd273,100538__2025_02_07_13_53_31_253108__5091927,annotated_nonzero,119,100538__2025_09_24_08_33_54_796934__1240580,groups_but_zero_marks,0
