prepared_sample_id,split,status,group_id,export_batch,timestamp_dir,sample_dir,tif_name,image_hash,mark_count,duplicate_count,classes_present
102487__2025_03_20_09_21_52_702063__4151595,train,annotated_nonzero,102487,cases_export_1775094268776,2025_03_20_09_21_52_702063,4151595,s-102487-1a0009.tif,01c4ab7750e601fd3753110d0588f6e9c4ec09bf,201,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|闰盘|Z线样物质堆积|脂滴|Z线|T管|M线|心肌侧管
96650__2025_02_07_13_43_15_586952__7706619,test,annotated_nonzero,96650,cases_export_1775094268776,2025_02_07_13_43_15_586952,7706619,s-96650-1b0005.tif,0333241a1a65ee4ea4b2b69f14b4bea2f5bec02a,63,1,健康线粒体|Z线|心肌侧管
78709__2025_02_06_11_21_39_830540__6240906,train,groups_but_zero_marks,78709,cases_export_1775099769937,2025_02_06_11_21_39_830540,6240906,s-78709-1a0002.tif,035def3bb6a124d6f45bf575a306971d072cd975,0,1,
99575__2025_02_07_13_52_08_837875__9864600,val,annotated_nonzero,99575,cases_export_1775094268776,2025_02_07_13_52_08_837875,9864600,s-99575-1a0004.tif,042cce12a7795f797a681fffa08a7922549357db,123,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|自噬线粒体|肌浆网|Z线|M线|心肌侧管
96650__2025_02_07_13_43_15_586952__923557,test,annotated_nonzero,96650,cases_export_1775094268776,2025_02_07_13_43_15_586952,923557,s-96650-1b0004.tif,04649fc5fe0d2718d773171ee3812a843804d706,118,1,健康线粒体|肌浆网|闰盘|Z线|M线|心肌侧管
102966__2025_04_23_09_15_22_574073__1149652,train,annotated_nonzero,102966,cases_export_1775094268776,2025_04_23_09_15_22_574073,1149652,s-102966-1b0001.tif,04c7d37acb21c07ede4b1f7c972dc49880efb0ff,214,1,中度损伤线粒体|健康线粒体|肌浆网|闰盘|脂滴|Z线|M线|心肌侧管
102455__2025_03_20_09_17_15_98408__565349,train,groups_but_zero_marks,102455,cases_export_1775094268776,2025_03_20_09_17_15_98408,565349,s-102455-1b0010.tif,04e2b0d6e71b11c5b5c08b6dc72e5165d0a462cd,0,1,
100538__2025_02_07_13_53_31_253108__4907509,test,annotated_nonzero,100538,cases_export_1775094268776,2025_02_07_13_53_31_253108,4907509,s-100538-1b0001.tif,059554c37dc5f66994655f681f518e6d3fae9a81,184,2,中度损伤线粒体|健康线粒体|闰盘|Z线样物质堆积|Z线|T管|M线|心肌侧管
101879__2025_09_29_14_17_57_268617__7765717,test,annotated_nonzero,101879,cases_export_1775094268776,2025_09_29_14_17_57_268617,7765717,s-101879-1b0001.tif,08a1275bb7c43ff74b373a7c5a8b4815f639ef62,236,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|T管|M线|心肌侧管
78192__2025_02_06_11_04_02_84862__6084462,train,annotated_nonzero,78192,cases_export_1775099769937,2025_02_06_11_04_02_84862,6084462,s-78192-1a0018.tif,08d4d4cfeeeeb43abf1686bf78b8decea48600e8,150,1,严重损伤线粒体|健康线粒体|肌浆网|Z线
101581__2025_07_24_13_54_36_303072__4986393,train,annotated_nonzero,101581,cases_export_1775094268776,2025_07_24_13_54_36_303072,4986393,s-101581-1b0014.tif,099ac931964bdee01692e7a75b42d0a3df96dd23,174,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|闰盘|Z线|M线|心肌侧管
101720__2025_02_07_13_56_22_742686__6140333,val,annotated_nonzero,101720,cases_export_1775094268776,2025_02_07_13_56_22_742686,6140333,s-101720-1a0018.tif,0a2066c4220944f918916859465d0725d9a84d5a,322,1,严重损伤线粒体|健康线粒体|肌浆网|脂滴|Z线|T管|M线|心肌侧管
106363__2025_09_26_15_55_36_591464__9543768,train,annotated_nonzero,106363,cases_export_1775094268776,2025_09_26_15_55_36_591464,9543768,10636302.tif,0a4f288d8f3b56dc6befd3b140b93ba89e526d6e,153,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|自噬线粒体|闰盘|Z线|M线|心肌侧管
78709__2025_02_06_11_21_39_830540__9482218,train,annotated_nonzero,78709,cases_export_1775099769937,2025_02_06_11_21_39_830540,9482218,s-78709-1a0001.tif,0b5e11e182cf807d3b0603f948062a1ec5219411,57,1,严重损伤线粒体|健康线粒体|自噬线粒体
101297__2025_03_20_14_38_57_432942__7322279,train,groups_but_zero_marks,101297,cases_export_1775094268776,2025_03_20_14_38_57_432942,7322279,s-101297-1a0001.tif,0c2b60a53311d32553586a11a6086682af7f822c,0,1,
101509__2025_09_29_14_09_24_546711__1487309,train,groups_but_zero_marks,101509,cases_export_1775094268776,2025_09_29_14_09_24_546711,1487309,s-101509-1a0001.tif,0c5a74e38cc0ef2adc2cc97df7feff033caad84f,0,1,
101685__2025_03_20_08_38_48_765312__4953834,train,annotated_nonzero,101685,cases_export_1775094268776,2025_03_20_08_38_48_765312,4953834,s-101685-1a0002.tif,0c838c3ac2f45e124e44f3d01bdfaf8c1e3dc623,215,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|自噬线粒体|Z线|M线|心肌侧管
78709__2025_02_06_11_21_39_830540__3708238,train,groups_but_zero_marks,78709,cases_export_1775099769937,2025_02_06_11_21_39_830540,3708238,s-78709-1a0007.tif,0d480ea7f15a51aa71ae499660a720455e22d12d,0,1,
102238__2025_09_29_14_42_32_51334__5451054,test,annotated_nonzero,102238,cases_export_1775094268776,2025_09_29_14_42_32_51334,5451054,s-102238-1b0025.tif,0da64ede25c22d3e9a06081cdcc2f433daf3256d,179,1,健康线粒体|Z线|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__5220457,train,groups_but_zero_marks,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,5220457,s-99574-1a0002 (2).tif,0e32fcfc26f481af33b2dab362e8fc90e828ff4c,0,1,
98307__2025_03_20_15_37_04_74162__5364693,train,groups_but_zero_marks,98307,cases_export_1775094268776,2025_03_20_15_37_04_74162,5364693,s-98307-1b0004.tif,0ea175ef3e237aea636542c86508d861fcee610d,0,1,
100952__2025_09_29_11_07_00_193879__7006382,test,annotated_nonzero,100952,cases_export_1775094268776,2025_09_29_11_07_00_193879,7006382,s-100952-1b0003.tif,0f5d7bff48b352a497f10f27e489df994efb4cdf,170,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|脂滴|Z线|M线|心肌侧管
78192__2025_02_06_11_04_02_84862__146798,train,annotated_nonzero,78192,cases_export_1775099769937,2025_02_06_11_04_02_84862,146798,s-78192-1a0017.tif,105efe77a9e6f2ff5f1df2d45411e44856516bcf,308,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|M线|心肌侧管
,,template_only_no_mark_tables,104173,cases_export_1775094268776,2025_05_15_10_58_22_187034,3148343,10417317.tif,10967ec81abd193229be8eda00119c451b70c1a1,0,1,
102238__2025_09_29_14_42_32_51334__3435683,test,annotated_nonzero,102238,cases_export_1775094268776,2025_09_29_14_42_32_51334,3435683,s-102238-1b0004.tif,123cae1c16efb8e6f1332fd4bb2dfde5371c03e0,175,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|M线|心肌侧管
100538__2025_02_07_13_53_31_253108__6165077,test,annotated_nonzero,100538,cases_export_1775094268776,2025_02_07_13_53_31_253108,6165077,s-100538-1a0004.tif,13a308ba0a648dc0c94b8eb578f66a8f798e3408,83,2,中度损伤线粒体|健康线粒体|肌浆网|Z线|M线|心肌侧管
102238__2025_09_29_14_42_32_51334__4135628,test,annotated_nonzero,102238,cases_export_1775094268776,2025_09_29_14_42_32_51334,4135628,s-102238-1b0005.tif,14044dddf95c1a7b578d5375db7910a40e6fcc6c,151,1,中度损伤线粒体|健康线粒体|Z线|M线|心肌侧管
78192__2025_02_06_11_04_02_84862__1827339,train,annotated_nonzero,78192,cases_export_1775099769937,2025_02_06_11_04_02_84862,1827339,s-78192-1a0025.tif,14ea3a4691ca215ca12807b7c6999be64adc7be7,124,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|M线|心肌侧管
101879__2025_09_29_14_17_57_268617__2080721,test,annotated_nonzero,101879,cases_export_1775094268776,2025_09_29_14_17_57_268617,2080721,s-101879-1a0004 - 副本.tif,15e59f2d72b16032fb8527af41d1f527e18b7375,93,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|M线|心肌侧管
99575__2025_02_07_13_52_08_837875__4333222,val,annotated_nonzero,99575,cases_export_1775094268776,2025_02_07_13_52_08_837875,4333222,s-99575-1b0006.tif,160c1179e5b922f2eb7252c45c78a8fd77eda966,218,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|自噬线粒体|肌浆网|Z线|T管|M线|心肌侧管
95988__2025_03_20_17_08_19_605178__2115955,train,groups_but_zero_marks,95988,cases_export_1775094268776,2025_03_20_17_08_19_605178,2115955,s-95988-1a0002.tif,163268fa1aedf59d67d3cc99fba7a645f315c7ce,0,1,
100538__2025_02_07_13_53_31_253108__5790439,test,annotated_nonzero,100538,cases_export_1775094268776,2025_02_07_13_53_31_253108,5790439,s-100538-1a0005.tif,16f01a20593877de655ddf9b400058ff0d2a703b,82,2,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|M线|心肌侧管
78192__2025_02_06_11_04_02_84862__1666470,train,annotated_nonzero,78192,cases_export_1775099769937,2025_02_06_11_04_02_84862,1666470,s-78192-1a0003.tif,19261a4ff11f7b4572ecb71c6c717ae82127d8ad,256,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__9503606,train,groups_but_zero_marks,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,9503606,s-99574-1a0005.tif,19484b6c1ffb7e20071a914b98f713080c8e9b69,0,1,
101431__2025_03_20_13_36_27_466882__8249314,train,groups_but_zero_marks,101431,cases_export_1775094268776,2025_03_20_13_36_27_466882,8249314,s-101431-1a0004.tif,1aec16c6e34b288ce4c6abb3fc0e1b847453f705,0,1,
102478__2025_03_20_09_25_50_775130__945145,train,annotated_nonzero,102478,cases_export_1775094268776,2025_03_20_09_25_50_775130,945145,s-102478-1b0011.tif,1b24225b6a07d38106d7059456a0ecce34d8b632,169,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|自噬线粒体|肌浆网|闰盘|Z线样物质堆积|脂滴|Z线|心肌侧管
98915__2025_03_20_15_34_48_592480__7589205,train,groups_but_zero_marks,98915,cases_export_1775094268776,2025_03_20_15_34_48_592480,7589205,s-98915-1b0003.tif,1b27b917dffc6dce0515aa31d39c7e98f46ed2e4,0,1,
79442__2025_02_06_11_30_57_289449__1878884,train,annotated_nonzero,79442,cases_export_1775099769937,2025_02_06_11_30_57_289449,1878884,s-79442-1a0017.tif,1b8ccdd61321e966cd9c4d409f86e44e699d3a4d,244,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__6402444,train,groups_but_zero_marks,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,6402444,s-99574-1a0022.tif,1c060722ea6e1dbc5404efb9550b8a4d3d3e0007,0,1,
79442__2025_02_06_11_30_57_289449__9340456,train,annotated_nonzero,79442,cases_export_1775099769937,2025_02_06_11_30_57_289449,9340456,s-79442-1a0014.tif,1c39eddf47841dc0a12bfa1939cc325bf0d80627,197,1,严重损伤线粒体|健康线粒体|自噬线粒体|肌浆网|Z线|T管|M线|心肌侧管
76355__2025_09_21_21_24_34_307417__1107252,val,annotated_nonzero,76355,cases_export_1775094268776,2025_09_21_21_24_34_307417,1107252,76355-1a0002.tif,1c5b79ce139bdf6e4f3cf3e6202106c7218d3708,18,1,严重损伤线粒体|中度损伤线粒体|健康线粒体
109395__2025_12_16_17_05_22_689098__6706323,val,annotated_nonzero,109395,cases_export_1775094268776,2025_12_16_17_05_22_689098,6706323,E10939507.tif,1d0d02b832620acb076e70b1d510ee89788189b1,367,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|T管|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__3211135,train,annotated_nonzero,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,3211135,s-99574-1a0029.tif,1ef10380d68522ea6e13a993d046051dbdaf1fa0,329,1,健康线粒体|脂滴|Z线|T管|M线|心肌侧管
101720__2025_02_07_13_56_22_742686__6656089,val,annotated_nonzero,101720,cases_export_1775094268776,2025_02_07_13_56_22_742686,6656089,s-101720-1a0019.tif,1f519f54599b78783cd59422a6f40c1fc8ac0566,390,1,中度损伤线粒体|健康线粒体|自噬线粒体|肌浆网|Z线|T管|M线|心肌侧管
100727__2025_09_29_09_59_10_133471__4351821,train,groups_but_zero_marks,100727,cases_export_1775094268776,2025_09_29_09_59_10_133471,4351821,s-100727-1b0007.tif,2012140d0339bdb99c26520687568b0b5ba3c2f2,0,1,
101720__2025_02_07_13_56_22_742686__6529376,val,annotated_nonzero,101720,cases_export_1775094268776,2025_02_07_13_56_22_742686,6529376,s-101720-1b0002.tif,2167f9b00afb6bc3d79210ed722a129026033ed3,395,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线样物质堆积|脂滴|Z线|T管|M线|心肌侧管
95128__2025_02_07_11_25_31_373289__4213854,train,annotated_nonzero,95128,cases_export_1775094268776,2025_02_07_11_25_31_373289,4213854,s-95128-1b0009.tif,21aad43ea92549823311feceab477ca007b8761d,105,1,健康线粒体|肌浆网|闰盘|糖原颗粒|Z线|T管|M线|心肌侧管
101165__2025_03_20_14_42_35_303909__1800523,train,annotated_nonzero,101165,cases_export_1775094268776,2025_03_20_14_42_35_303909,1800523,s-101165-1a0002.tif,21bacafdcf350ad5520dc745216e9da5ddb9d783,321,2,中度损伤线粒体|健康线粒体|肌浆网|闰盘|Z线|T管|M线|心肌侧管
104173__2025_05_15_10_58_22_187034__9689703,train,annotated_nonzero,104173,cases_export_1775094268776,2025_05_15_10_58_22_187034,9689703,10417302.tif,21f2ee960724e63a24b71eb509bd79d8f1d8e996,649,1,闰盘|Z线|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__2916717,train,groups_but_zero_marks,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,2916717,s-99574-1a0001.tif,2281c018c71402a8b0af39a313f0b1b5636e6c36,0,1,
99574__2025_02_07_13_49_55_661479__1605269,train,groups_but_zero_marks,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,1605269,s-99574-1a0023.tif,241266b25a2f2875d8218d80668f97e8f52e6ed5,0,1,
78192__2025_02_06_11_04_02_84862__7295409,train,annotated_nonzero,78192,cases_export_1775099769937,2025_02_06_11_04_02_84862,7295409,s-78192-1a0023.tif,2431bbba114091a31bb8db1877ae6c31b06dc971,232,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|心肌侧管
